Timestamp,Traffic Volume,Vehicle Speed (km/h),Traffic Density (vehicles/km),Congestion Level,Weather Conditions,Accidents,Road Type,GPS Latitude,GPS Longitude
2024-01-01 00:00:00,960,59,146,Low,Foggy,4,Residential,44.448842,-77.430403
2024-01-01 00:05:00,701,62,146,Low,Snowy,5,Residential,46.08056,-74.861163
2024-01-01 00:10:00,346,14,42,Low,Foggy,4,Urban Road,48.291848,-79.087699
2024-01-01 00:15:00,998,88,81,Moderate,Clear,4,Highway,42.359566,-79.616883
2024-01-01 00:20:00,72,69,48,Low,Foggy,4,Urban Road,45.402977,-79.966943
2024-01-01 00:25:00,152,22,74,Moderate,Foggy,1,Highway,44.975734,-75.859927
2024-01-01 00:30:00,585,57,33,Moderate,Rainy,4,Residential,43.363861,-73.54473
2024-01-01 00:35:00,887,21,60,Low,Clear,5,Urban Road,40.631186,-74.321839
2024-01-01 00:40:00,756,84,134,Low,Snowy,5,Residential,41.616483,-79.832075
2024-01-01 00:45:00,854,31,26,Low,Snowy,1,Residential,43.459579,-71.778957
2024-01-01 00:50:00,589,63,80,Moderate,Foggy,2,Highway,42.766359,-73.806055
2024-01-01 00:55:00,271,23,137,High,Foggy,2,Highway,41.326305,-78.305514
2024-01-01 01:00:00,126,94,94,Low,Rainy,4,Residential,43.787953,-78.838343
2024-01-01 01:05:00,226,72,126,Moderate,Snowy,0,Residential,43.906725,-78.820032
2024-01-01 01:10:00,489,54,33,High,Clear,5,Highway,48.514517,-73.682469
2024-01-01 01:15:00,919,66,44,Low,Foggy,0,Residential,45.502466,-70.196171
2024-01-01 01:20:00,56,97,9,High,Rainy,3,Urban Road,49.510689,-78.010046
2024-01-01 01:25:00,613,52,130,Moderate,Rainy,4,Residential,41.357338,-70.841571
2024-01-01 01:30:00,816,74,82,High,Snowy,0,Urban Road,40.707101,-71.988655
2024-01-01 01:35:00,437,58,11,Low,Clear,4,Urban Road,44.741387,-73.197726
2024-01-01 01:40:00,210,23,77,Moderate,Clear,2,Urban Road,42.093771,-70.119364
2024-01-01 01:45:00,371,96,65,Low,Snowy,2,Residential,41.535317,-77.466784
2024-01-01 01:50:00,661,83,150,Moderate,Clear,4,Urban Road,40.499597,-74.199223
2024-01-01 01:55:00,585,93,146,Moderate,Rainy,1,Residential,45.260199,-72.770877
2024-01-01 02:00:00,508,10,137,Moderate,Clear,2,Residential,45.200212,-72.837761
2024-01-01 02:05:00,598,28,7,High,Foggy,5,Highway,41.117181,-79.657823
2024-01-01 02:10:00,69,83,83,Moderate,Snowy,5,Highway,46.329784,-70.85475
2024-01-01 02:15:00,251,7,37,Moderate,Clear,1,Highway,45.742996,-76.571365
2024-01-01 02:20:00,749,39,73,High,Clear,1,Urban Road,43.049956,-70.526104
2024-01-01 02:25:00,77,62,68,Low,Foggy,1,Urban Road,41.222141,-73.536116
2024-01-01 02:30:00,230,61,142,Moderate,Clear,1,Highway,40.227855,-77.847822
2024-01-01 02:35:00,125,9,148,High,Clear,4,Highway,49.338615,-77.810359
2024-01-01 02:40:00,507,26,135,High,Foggy,2,Highway,41.554558,-79.964636
